height,weight,birthYear,num_seasons,bioID,pos,college,collegeOther
74.0,150,1968,1,spornra01w,F,,
73.0,180,1970,2,stafftr01w,F,California,
66.0,134,1970,7,staleda01w,G,Virginia,
75.0,183,1983,2,stansti01w,F-C,North Carolina State,
73.0,153,1975,5,starbka01w,G,Stanford,
72.0,173,1967,2,stedika01w,G-F,Stanford,
80.0,187,1979,6,stepama01w,C,,
76.0,205,1982,1,stephst01w,C,Texas,
75.0,166,1982,3,stevema01w,F-C,Auburn,
68.0,144,1978,2,stileja01w,G,Missouri State,
70.0,158,1967,6,stinsan01w,G,North Carolina State,
71.0,208,1972,3,stiresh01w,F,Kansas State,
74.0,165,1979,1,stockta01w,F-C,Florida,
74.0,165,1972,6,streiju01w,F,,
75.0,166,1983,3,strotan01w,G-F,Connecticut,
74.0,167,1983,2,summela01w,C,,
73.0,168,1974,1,sun-mju01w,C,,
76.0,199,1978,9,suttota01w,C,Rutgers,
67.0,144,1986,2,swanike01w,G,Connecticut,
72.0,145,1971,9,swoopsh01w,G-F,Texas Tech,
66.0,157,1971,1,tateso01w,G,Arkansas State,
72.0,172,1982,6,tauradi01w,G-F,Connecticut,
80.0,200,1981,1,tayloli01w,C,UC Santa Barbara,
73.0,168,1981,9,taylope01w,F,,
72.0,169,1979,8,teaslni01w,G,North Carolina,
79.0,170,1983,1,teilaza01w,C,Western Illinois,
75.0,183,1983,3,terryka01w,F-C,Georgia Tech,
75.0,200,1985,1,thomaca01w,F,Vanderbilt,
75.0,185,1982,6,thomach01w,C,Georgia,
74.0,165,1981,6,thomala01w,F,Mississippi State,
70.0,154,1978,6,thomast01w,F,Michigan,
73.0,180,1976,6,thompal01w,F,Texas Tech,
74.0,178,1975,10,thompti01w,F,USC,
69.0,149,1982,2,thorbsh01w,G,Utah,
70.0,150,1981,7,thorner01w,G,Brigham Young,
67.0,150,1970,1,threaro01w,G,Wisconsin,
77.0,165,1981,4,tilliic01w,F-C,Duke,
67.0,132,1965,2,timmsmi01w,G,,
67.0,130,1987,1,tolivkr01w,G,Maryland,
73.0,160,1965,2,torniel01w,F,,
75.0,171,1978,1,torrele01w,C,Florida State,
71.0,145,1978,1,traviti01w,G-F,Flordia,
66.0,142,1969,1,tremich01w,G,Auburn,
72.0,172,1984,4,turneba01w,G-F,Connecticut,
76.0,194,1977,4,tuvicsl01w,C,,
72.0,187,1976,2,udokamf01w,F,DePaul,
76.0,200,1980,1,ujhelpe01w,F-C,South Carolina,
67.0,140,1977,1,umoh-it01w,G,Clemson,
73.0,160,1976,1,valdeam01w,F,,
78.0,187,1977,5,vangomi01w,C,Duke,
76.0,208,1987,1,vaughki01w,C,Rutgers,
73.0,160,1986,1,vaughkr01w,F,Virginia Commonwealth,
70.0,150,1981,2,vealkr01w,G,,
76.0,207,1975,1,vilipda01w,F-C,,
76.0,190,1972,7,vodicka01w,F-C,,
75.0,181,1981,1,vodopna01w,F,,
73.0,200,1987,1,walkeas01w,F-C,California,
75.0,142,1979,6,walkeay01w,F,Louisiana Tech,
75.0,168,1977,10,walkede01w,F,Virginia,
75.0,253,1986,1,walkema01w,C,Pittsburgh,
74.0,184,1978,2,walsema01w,F,Penn State,
66.0,138,1971,4,washico01w,G,Notre Dame,
71.0,160,1977,4,washito01w,F,Florida,
76.0,193,1980,10,wautean01w,C,,
68.0,161,1965,5,weathte01w,G,Louisiana Tech,
70.0,162,1975,1,webbum01w,G-F,North Carolina State,
77.0,200,1982,1,weberma01w,C,Iona,
73.0,172,1982,4,weckeke01w,F,Kansas State,
68.0,150,1982,6,whaleli01w,G,Minnesota,
71.0,180,1980,2,whitede01w,F,Louisiana State,
63.0,135,1986,2,whiteer01w,G,Louisiana State,
67.0,154,1982,5,whiteta01w,G,Mississippi State,
74.0,199,1972,2,whitiva01w,F-C,Stanford,
74.0,190,1977,10,whitmta01w,F,Memphis,
77.0,176,1973,1,whittje01w,C,,
73.0,185,1986,2,whittkh01w,F,North Carolina State,
75.0,191,1966,3,wickssu01w,F,Rutgers,
66.0,135,1975,1,widemja01w,G,Stanford,
71.0,154,1987,2,wiggica01w,G,Stanford,
75.0,185,1983,3,wilkibr01w,C,Iowa State,
