year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,total_blocks_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Points_Ratio_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies
4,0,0,,,,0.165,0.538,0.138,0.468,0.403,0.271,0.425,0.34,0.331,0.447,0.399,0.48,0.347,0.185,0.767,NYL,,,14.647793996756937,0.4263534909118717,0.7702469720943199,3.4910247743380003,0.0,0.526625845911803,0.4078861511188778,0.0
5,0,1,1,0,,0.15,0.697,0.1,0.509,0.118,0.428,0.399,0.226,0.584,0.431,0.436,0.607,0.154,0.385,0.548,NYL,2.0,3.0,14.45914061569546,0.42010867619615305,0.7509697709177408,4.08832009802595,0.1407204000027097,0.6001007567403087,0.38161716766538634,0.0
6,0,1,0,,,0.201,0.661,0.0,0.369,0.145,0.236,0.32,0.186,0.438,0.312,0.287,0.52,0.081,0.111,0.569,NYL,0.0,2.0,12.347952210281449,0.4198802802358415,0.8001162051847069,3.6154565096316147,0.04164575935219326,0.532755992422077,0.3125959353334614,0.0
7,0,0,,,,0.438,0.697,0.205,0.29,0.349,0.734,0.32,0.327,0.416,0.701,0.405,0.487,0.367,0.467,0.483,NYL,,,11.945544481220361,0.379719417277657,0.7807662003806619,3.4121224566588393,0.0,0.4809930636330753,0.31931010348468675,0.0
8,0,1,0,,,0.269,0.819,0.214,0.375,0.548,0.891,0.301,0.613,0.624,0.714,0.409,0.827,0.664,0.326,0.448,NYL,1.0,2.0,11.16905643121353,0.4156737102112116,0.6892024415676924,3.8626969591299005,0.08316106592512666,0.5459304263104566,0.28211946578322755,1.0
9,0,1,1,0,,0.446,0.891,0.405,0.549,0.554,0.607,0.353,0.38,0.478,0.677,0.365,0.587,0.653,0.281,0.477,NYL,3.0,3.0,13.899809980828186,0.41509665337253265,0.7452377547455948,4.105496595074755,0.1621652700107344,0.5260589789842033,0.3151482787359153,0.0
10,0,0,,,,0.274,0.869,0.181,0.464,0.478,0.59,0.379,0.535,0.371,0.799,0.318,0.48,0.61,0.393,0.541,NYL,,,14.226441204832426,0.40991187496103987,0.7965702016963748,3.491383204725182,0.0,0.4684298802691408,0.34576828429031814,0.0
1,0,1,0,,,0.186,0.376,0.367,0.283,0.366,0.341,0.438,0.302,0.455,0.27,0.5,0.447,0.425,0.274,0.298,CON,1.0,2.0,17.810132022858603,0.4249443160721557,0.736650270713415,4.174109027270388,0.0651421201174563,0.6084182715836242,0.42607880260024683,0.0
2,0,0,,,,0.286,0.507,0.543,0.212,0.715,0.541,0.405,0.275,0.275,0.243,0.493,0.673,0.602,0.319,0.304,CON,,,13.828501184248289,0.39591388766665975,0.7274723951393157,3.6740272559038356,0.0,0.514562719278234,0.3797327601744578,0.0
3,0,0,,,,0.429,0.376,0.371,0.191,0.581,0.21,0.327,0.239,0.534,0.31,0.443,0.36,0.583,0.274,0.279,CON,,,9.238132026967955,0.4216281052068421,0.7436392422333638,3.550843712065766,0.0,0.5203523682805342,0.41159808097727796,0.0
