year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean
9,1,0,,,,0.956,0.321,0.529,0.57,0.656,0.279,0.444,0.383,0.466,0.78,0.672,0.34,0.73,0.511,0.302,MIN,,,,,1.8120514440363356,0.37286983031100557,0.4542042787447754,
10,1,0,,,,0.719,0.814,0.395,0.406,0.613,0.459,0.425,0.436,0.281,0.743,0.679,0.353,0.591,0.511,0.35,MIN,,,0.4248694384529646,0.8088502133359022,1.66516013845918,0.4189201904117772,0.4752510295498386,1.8943855054062935
1,0,1,1,1,0,0.237,0.33,0.219,0.297,0.317,0.288,0.255,0.235,0.298,0.212,0.25,0.173,0.344,0.17,0.865,NYL,4.0,3.0,0.4177109253185205,,2.491679850916536,0.4413690464897702,0.6498256313872619,1.5832386875966915
2,0,1,1,0,,0.075,0.443,0.062,0.556,0.419,0.127,0.124,0.177,0.208,0.296,0.142,0.173,0.409,0.037,0.957,NYL,3.0,3.0,,,2.450847922618307,0.38241384064178646,0.6017739423238208,1.5662396339188354
3,0,1,1,1,0,0.237,0.376,0.086,0.362,0.398,0.218,0.242,0.266,0.253,0.217,0.074,0.207,0.34,0.126,0.878,NYL,4.0,4.0,0.43447564693412255,0.7154469413634392,2.7171679372319972,0.455057183755432,0.7081391635227755,1.635878796401232
4,0,0,,,,0.165,0.538,0.138,0.468,0.403,0.271,0.425,0.34,0.331,0.447,0.399,0.48,0.347,0.185,0.767,NYL,,,,,1.8677194881514023,0.45318869583193744,0.526625845911803,
5,0,1,1,0,,0.15,0.697,0.1,0.509,0.118,0.428,0.399,0.226,0.584,0.431,0.436,0.607,0.154,0.385,0.548,NYL,2.0,3.0,0.42010867619615305,0.7509697709177408,2.2743254849445664,0.5316219617486491,0.6001007567403087,1.950748671761227
6,0,1,0,,,0.201,0.661,0.0,0.369,0.145,0.236,0.32,0.186,0.438,0.312,0.287,0.52,0.081,0.111,0.569,NYL,0.0,2.0,0.4198802802358415,,1.8545215028161328,0.4034880495714778,0.532755992422077,
7,0,0,,,,0.438,0.697,0.205,0.29,0.349,0.734,0.32,0.327,0.416,0.701,0.405,0.487,0.367,0.467,0.483,NYL,,,0.379719417277657,,1.647522285283038,0.40950238263523586,0.4809930636330753,1.9019899525828379
8,0,1,0,,,0.269,0.819,0.214,0.375,0.548,0.891,0.301,0.613,0.624,0.714,0.409,0.827,0.664,0.326,0.448,NYL,1.0,2.0,0.4156737102112116,,2.076096097288285,0.33731397735380036,0.5459304263104566,
